rideable_type,day_of_week,users,member_casual,percent
classic_bike,3,14487,member,7.6091181259519924
electric_bike,3,14138,member,7.4258101791060458
classic_bike,2,12344,member,6.4835337990440678
electric_bike,2,12042,member,6.3249120226902669
classic_bike,4,10749,member,5.6457797153211828
electric_bike,4,10458,member,5.492935553337885
classic_bike,1,10406,member,5.4656231944955094
electric_bike,1,9924,member,5.2124586375334836
electric_bike,5,9168,member,4.815378958978938
classic_bike,5,8968,member,4.710331424969799
electric_bike,7,8838,member,4.6420505278638586
classic_bike,6,8819,member,4.6320710121329896
classic_bike,7,8562,member,4.4970849309312468
electric_bike,6,8488,member,4.4582173433478651
electric_bike,1,5078,casual,2.6671568884920425
electric_bike,3,4357,casual,2.2884605283890962
classic_bike,1,4112,casual,2.1597772992279007
electric_bike,2,4108,casual,2.1576763485477177
electric_bike,7,3870,casual,2.0326697830768423
electric_bike,4,2841,casual,1.4922002205998213
electric_bike,6,2607,casual,1.3692946058091287
classic_bike,7,2583,casual,1.3566889017280319
electric_bike,5,2417,casual,1.2694994485004465
classic_bike,2,2385,casual,1.2526918430589842
classic_bike,3,2211,casual,1.1613004884710332
classic_bike,4,1577,casual,0.82829980566206207
classic_bike,6,1478,casual,0.7763012763275382
classic_bike,5,1181,casual,0.6203056883239666
docked_bike,1,762,casual,0.40023110457482008
docked_bike,7,428,casual,0.22480172277955776
docked_bike,2,293,casual,0.15389463732338882
docked_bike,3,276,casual,0.144965596932612
docked_bike,6,165,casual,0.086664215557539781
docked_bike,4,157,casual,0.082462314197174216
docked_bike,5,113,casual,0.05935185671516361