day_of_week,member_casual,users,percent
3,member,28625,15.03492830505804
2,member,24386,12.808445821734335
4,member,21207,11.138715268659068
1,member,20330,10.678081832028994
5,member,18136,9.525710383948736
7,member,17400,9.1391354587951046
6,member,17307,9.0902883554808547
1,casual,9952,5.2271652922947638
7,casual,6881,3.6141604075844316
3,casual,6844,3.5947266137927412
2,casual,6786,3.5642628289300906
4,casual,4575,2.4029623404590574
6,casual,4250,2.2322600976942066
5,casual,3711,1.9491569935395767